;Source;Target
;switch_greeting;switch_pa
;switch_greeting;switch_step_count
;switch_greeting;switch_memory_recall
;switch_greeting;switch_goal_setting
;;
;switch_memory_recall;switch_step_count
;switch_memory_recall;switch_pa
;switch_memory_recall;switch_goal_setting
;switch_memory_recall;switch_rating_importance
;;
;switch_pa;switch_rating_importance
;switch_pa;switch_rating_confidence
;switch_pa;switch_self_efficacy
;;
;switch_step_count;switch_rating_importance
;switch_step_count;switch_rating_confidence
;switch_step_count;switch_self_efficacy
;;
;switch_rating_importance;switch_rating_confidence
;switch_rating_importance;switch_self_efficacy
;;
;switch_rating_confidence;switch_self_efficacy
;switch_rating_confidence;switch_motivator
;;
;switch_self_efficacy;switch_motivator